SL,School Name,District,Board,Sector,Project,Link
569,Palatana H.S School,Gomati,TBSE,Agriculture,102 VE Schools,https://docs.google.com/spreadsheets/d/1RpVpn2cUayzuRYP7PdKJPV-xLO6gC5m_bqpabFa1d-Y/edit?usp=drivesdk
570,Garzeebzar H.S School,Gomati,CBSE,Retail,102 VE Schools,https://docs.google.com/spreadsheets/d/1TEY4TqK8LTHI-qK1b8uVg7hOhf2XG3yMFzRJZ_V2D_s/edit?usp=drivesdk
571,Gamaria H.S School,Gomati,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/12HzZhK6bUeK6SznL9L1qwYhmBJhCFlyCZbDn8OrI1oQ/edit?usp=drivesdk
572,Garjanmura H.S School,Gomati,TBSE,Electronics,102 VE Schools,https://docs.google.com/spreadsheets/d/16LyMojwDqUpS3DV2ZXnxRPA5o0bk9GMco12E51QpSjA/edit?usp=drivesdk
573,Matabari Eng. Med. H.S School,Gomati,TBSE,Organised Retail,102 VE Schools,https://docs.google.com/spreadsheets/d/17--2MmMur5r7k_imNg7mgQGOwNPKbbkzVo2Tz0qXyQc/edit?usp=drivesdk
574,Tripurasundari H.S School,Gomati,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1JHPBJOWqBVN0yAlflQCuXy-LQfJZIPF-F0KfGsiDsQM/edit?usp=drivesdk
575,West Bokafa H.S School,South,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/14xXoO-oWdYKc7jqyHcDb0wK_j6XpA_GfwQoVxya7vVU/edit?usp=drivesdk
576,PMSHRI Twikormo HS School,South,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1mgPgz1-E5yqPFq8oeK3CRVzSluTPYKnaD_5Iy5RjLYg/edit?usp=drivesdk
577,Bokafa Ashram Eng. Med. H.S School,South,TBSE,IT-ITeS,102 VE Schools,https://docs.google.com/spreadsheets/d/1aXXUGE_K_a6zY2bgXZQ8KDpdisfNJ0J6C8p7lmsgNGg/edit?usp=drivesdk
578,Sabroom Eng. Medium Hs School,South,CBSE,Information Technology,102 VE Schools,https://docs.google.com/spreadsheets/d/1q2MbhdIv6r06B7Qh1Nu3VYyM40xShZI7Zjk5yHi3u9s/edit?usp=drivesdk
579,Krishnatilla High School,Unakoti,TBSE,Electronics,2 PMSHRI,https://docs.google.com/spreadsheets/d/16NhTGq-_jTKZC8UQBsxp84Rt-PiEQPuRiZ7dRbhBy54/edit?usp=drive_link
580,Rajnagar High School,Gomati,TBSE,IT-ITeS,2 PMSHRI,https://docs.google.com/spreadsheets/d/1GuneyVQBiZ-LGzkc6waiF_4JLjqH6onYO5BpQTswR-8/edit?usp=drivesdk
581,PM-SHRI-Kamini Kumar Singha Memorial HS School,West,TBSE,IT-ITeS,1 PMSHRI (2 Sectors),https://docs.google.com/spreadsheets/d/1Ihhs89mWftEmY351luNjuHBx7ib2IUTZ4DOXAI_92qw/edit?usp=drivesdk
582,PM-SHRI-Kamini Kumar Singha Memorial HS School,West,TBSE,Organised Retail,1 PMSHRI (2 Sectors),https://docs.google.com/spreadsheets/d/1gX61CGxmariRHC_aS2qX6-cPHdW2jo1TCndBse26WNo/edit?usp=drivesdk
583,PM SHRI Amzad Nagar High School,South,TBSE,Electronics,1 PMSHRI (1 Sector),https://docs.google.com/spreadsheets/d/1Hz5PsDMUAR1nDlbprZU1YZM2MqMCo6_mOwtmb6UxJxY/edit?usp=drivesdk
584,PM SHRI Akhaliacherra English Medium HS School,West,TBSE,Agriculture,3 PMSHRI,https://docs.google.com/spreadsheets/d/1esxupo-N4RJwaix8LoGMfa8cMyE4dOYT9kcCoB2TAi0/edit?usp=drivesdk
585,Uttar Debendranagar High School,West,TBSE,Electronics,3 PMSHRI,https://docs.google.com/spreadsheets/d/13z_smKbLFSWprAN0FBpJsTSVng48INXkKbO_3xugqBk/edit?usp=drivesdk
586,PMSHRI Bhagabanngar (Eng.Med.) High School,Unakoti,TBSE,Electronics,3 PMSHRI,https://docs.google.com/spreadsheets/d/1bQuu4TEVfW358nD2pFyIoXI5NdojnZtn8OsICCsUn70/edit?usp=drivesdk
587,Chandrapur South High,West,TBSE,IT-ITeS,8 VE Schools,https://docs.google.com/spreadsheets/d/17O-cOiTZ2HLBmJhk5-233FhmdosSHix6B9X7FIowYMU/edit?usp=drivesdk
588,Ragna High School,North,TBSE,Agriculture,8 VE Schools,https://docs.google.com/spreadsheets/d/1iZUfuNKOvjgAWUMEvccskpxlig6gcbNY6IXLr_oz7Fw/edit?usp=drivesdk
589,Batarashi High School,North,TBSE,Agriculture,8 VE Schools,https://docs.google.com/spreadsheets/d/1LCqfS2kHF--kYG_Ldwrp-sBUbKXWKzq9zSkmP3NLgtk/edit?usp=drivesdk
590,North Maheshpur H.S School,Sepahijala,TBSE,IT-ITeS,8 VE Schools,https://docs.google.com/spreadsheets/d/1LtksIQkmyG1xtnZHbvI5JZeUURLGCmJZ3cw4T_adEfQ/edit?usp=drivesdk
591,Hirapur High School,Gomati,TBSE,Agriculture,8 VE Schools,https://docs.google.com/spreadsheets/d/1PDcNGN4fi4iHlwGnDuf26ye-7lV8mmJQrkCLoff_AKM/edit?usp=drivesdk
592,Dudhpuskarini High School,Gomati,TBSE,IT-ITeS,8 VE Schools,https://docs.google.com/spreadsheets/d/1OcxLkpBhIOx19lQGil4_lqzEwUnV5rMDK-SZxZ0NOVA/edit?usp=drivesdk
593,Borkhala High School,Unakoti,TBSE,Electronics,8 VE Schools,https://docs.google.com/spreadsheets/d/1bWOr4KvhcBVtbN8UCQRMiIH-8dVFe6wLKht3YZxOlak/edit?usp=drivesdk
594,East Kanchan Bari HS School,Unakoti,TBSE,IT-ITeS,8 VE Schools,https://docs.google.com/spreadsheets/d/1sjcHl6KDlmOp8qDFKqP990JEaA185rCmNLN9fzjhso8/edit?usp=drivesdk
595,PMSHRI Matangini Hazra Vidyalaya (H.S),Gomati,TBSE,Electronics,1 PM SHRI School,https://docs.google.com/spreadsheets/d/1wfiJNPjQyLIwdqw1dCMbR1yYOYTikS6pVeljD-9Wf1E/edit?usp=drivesdk
596,Radhamadhabpur High. School,North,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1i4AnicZsTe6NzG3nTLfLXN4WdshqzQ-5evYqjSa62Yc/edit?usp=drivesdk
597,Balakmuni High School,North,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1oJC8kluQ9TVOqRC9bqUNE5EyWJWh1o7A6eQmqZeUYOA/edit?usp=drivesdk
598,Gokulnagar High School,Unakoti,TBSE,Organised Retail,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1qm9cu6eyQLtGAU0w3Yi6czCKSTCnP6f7_q42ofpKVPQ/edit?usp=drivesdk
599,Jalai High School,Unakoti,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1wDBvAUKM2XPRqtD8oM_PQNKcV_z7CKyxqKZYaeKSGTE/edit?usp=drivesdk
600,Laxmancherra High School,Unakoti,TBSE,Electronics,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1EXoJI2iHF5a9RiitS-DY4BsR1Mzdp2i0qWYTDdRiouA/edit?usp=drivesdk
601,Manuvelly T.E. High School,Unakoti,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1IOslImm3JQhLOE6aJSAOmzJHV6TasbnMHLvOz3tVaUY/edit?usp=drivesdk
602,East Daluchara High School,Dhalai,TBSE,Electronics,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1dQ4OOV_gU4uy-LdSm5Hf5cffHUmpvPpmqL6CE2K5Aig/edit?usp=drivesdk
