SL,School Name,District,Board,Sector,Project,Link
43,Joyganti HS School,Unakoti,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1vqcLB6Os4_B6CEIC09bb5kMTN0bCssYaeOagsw3JUnw/edit?usp=drivesdk
44,Joyganti H.S School,Unakoti,TBSE,Electronics,VE 56 Schools,https://docs.google.com/spreadsheets/d/14Rkx617JHMh5ijTcZo4EYC3RBK3uhp2Nyize4WKrHAw/edit?usp=drivesdk
45,Ramguna Cp H.S School,Unakoti,TBSE,Electronics,VE 56 Schools,https://docs.google.com/spreadsheets/d/1FjeTrDJ9sF_N-ggn9zS3BeVReCXxtIwoGhhlEsaCVkg/edit?usp=drivesdk
46,Ramguna C.P. H.S. School,Unakoti,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1I_nF9Tsq8ZdCWMHDD-QVlhQm1g033Gch463_aqPu5mM/edit?usp=drivesdk
47,Salema Class XII School,Dhalai,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/1KdwSMbDvz0gzoDgyFB5xsrvnH7lNmMeCU1-hn60mjAY/edit?usp=drivesdk
48,Salema Class XII School,Dhalai,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1hDUykVFeSdz9-eNhu_NuAmAAGiuJc1HLwBoiPy9WZO4/edit?usp=drivesdk
49,Gandachara Class XII School,Dhalai,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/1NT2yHMRwMvVTk3pwyoeON82niZJeObky7K7XDvDAWIs/edit?usp=drivesdk
50,Gandachara Class XII School,Dhalai,CBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1d27-h_yAI378peuxdXbuqHNE83EkVPqlXIw0DyS5S4M/edit?usp=drivesdk
51,Kalachari Class XII School,Dhalai,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1tP22QS4F28IC7PxUnFc9qIhJIlpOeQDHCyWoBPr_GvQ/edit?usp=drivesdk
52,Chawmanu Class XII School,Dhalai,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1w7liG13DhvLr4WjhfE2wBfdUyOHKcyPHmGsPG2xEHqc/edit?usp=drivesdk
53,Raishyabari Eng. Med. HS School,Dhalai,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1wyA72Z6sG37xkUUrku426NhShI63jfIeMISz22RAYJ0/edit?usp=drivesdk
54,82 Miles Proper HS School,Dhalai,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1Bcd4TTyKYMNkSY5eDyL4Ss3Sb7sB5Va82i1vT79IjJ0/edit?usp=drivesdk
55,82 Miles Proper H/S School,Dhalai,TBSE,Electronics,VE 56 Schools,https://docs.google.com/spreadsheets/d/1CkM4uXbiRuFZNdh3fK3yADQZzb6DrgUEdh3IWSaXvTg/edit?usp=drivesdk
56,Halhali Class XII School,Dhalai,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/1HF1ps2bX37BcBLD1xl_F5HoQTPKNX-Awok-3K8zhD4A/edit?usp=drivesdk
57,Halhali Class XII School,Dhalai,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1QHW7Ipn7dGQhmlZ0orfmdj5lDC91_EUjo-0HPZMrVH0/edit?usp=drivesdk
58,PMSHRI Baralutma Class XII School,Dhalai,TBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1WyeE2m6qxPdXDXvwr3Ip3pn6vsmlqfK1ydPglx6qapg/edit?usp=drivesdk
59,PMSHRI Bharat Sardar HS School,Khowai,TBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1YV7LrfaXdxrwPX_aqvR1bsCnwkPLHopthVcOR0gcy80/edit?usp=drivesdk
60,PMSHRI Bharat Sardar H.S. School,Khowai,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1_n-qs5b2yGMJLdrT-qaqqaEsL3uRYcctpD8RcpNqjdA/edit?usp=drivesdk
61,Teliamura HS School,Khowai,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1aNy4skPYcUdFaQbWRBRV2eHBwwPYD1DvPrfH0INrXqs/edit?usp=drivesdk
62,Teliamura H.S. School,Khowai,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/1gMs3deHQNy9mGsE0aBNYot3gwu85vH96jlVKSJcrf_E/edit?usp=drivesdk
63,Kabi nazrul Vidyabhaban HS School,Khowai,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/186JVigWxx3xJHGQWSaBz97u8qLb2svSutbZaPsGV_Lw/edit?usp=drivesdk
64,Kabi Nazrul Vidya Bhaban Hs School,Khowai,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/1tPbSWc8FMLJs2iPnrLakZYBx6S7aJSLVWsBX1w4fIWc/edit?usp=drivesdk
65,Mungiabari HS School,Khowai,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1tTfN19eckr5ASR5er3JuAYarJMkMKiv626k8YK9hk0M/edit?usp=drivesdk
66,Mungiabari H.S. School,Khowai,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1x1-406FAcDeFHNOu0rNIxFNIE3dVbScwiWd1hbpQBb4/edit?usp=drivesdk
67,Dr. H.S. Roy Chowdhury Memorial Institution,Khowai,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1z2_0d0lLaEofBYbvbAdzWHBzRgfklt3P67sjsOX_zRI/edit?usp=drivesdk
68,Dr. H.S. Roy Chowdhury Memorial Institution,Khowai,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/197LSU6fQB2jdw89wrmguo8ig6qO_ePFBZdcnOnsRfyI/edit?usp=drivesdk
69,Saratchandra HS School,Khowai,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1KmnMqnEojJ52M0zxi-rbDxBzSgJr9Uh7M-3uvkGPQEM/edit?usp=drivesdk
70,Maharanipur HS School,Khowai,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1cj4pT3ftcrx5yc_-d-WVH9DQFtFBTjzMcUIOl2F-muc/edit?usp=drivesdk
71,Nandannagar HS School,West,TBSE,Electronics,VE 56 Schools,https://docs.google.com/spreadsheets/d/1pdJpHNYWjxDWw9kTUK2uCDM9r_mQ9E_8tqi2gibXgII/edit?usp=drivesdk
72,Nandannagar HS School,West,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1y2pfCWyHj3OvVxNN9PFSrj8D6ameYVX4ElsfhTcJRHA/edit?usp=drivesdk
73,Bijoy Kumar Girls' HS School,West,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/11TIXpHXxyvDo3z0Asg23kmS2ptajtmrew1PiKJ2Ct6Y/edit?usp=drivesdk
74,Bijoy Kumar Girls' H.S. School,West,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1XTKFtxV_VPaoOZAuV4Wzy9K0WxcdnrtGu5v67lz5DV8/edit?usp=drivesdk
75,Arundhuti Nagar HS School,West,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1Y_UlEAuYX2ztfze-zSz139ggmR-PovbJxjsmS0Op8C0/edit?usp=drivesdk
76,Belabar HS School,West,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1smo1Fbbys4rYyeGsC-5HsGZYi9BSEyFRtN-3lemj3ss/edit?usp=drivesdk
77,Surjyamani Nagar HS School,West,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1wytKKbz5v7F_Wh0fKZe_DTNSbF7KyLNRsJXLHvoBhrc/edit?usp=drivesdk
78,Surjyamani Nagar H/S School,West,CBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/17VMNi7Xbo0F9tEuS9ChczrkA1k_0pDjudIpHCISz_cI/edit?usp=drivesdk
79,Ishanpur HS School,West,CBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1KA_tUHWRRhdg_8shR8Rb7sNJwNHhgp2R2ZGhH0IXjsg/edit?usp=drivesdk
80,PMSHRI Ranirgaon Class-XII School,West,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1ZlYtE-cTWqFGm6uDT9I3lkEv4UL_175c-PR9k9kEhjU/edit?usp=drivesdk
81,Birendra Nagar HS School,West,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/1jiFV7AfUCMQ36r44k_I3o5yUylLQQ5i0GWzabhUqscA/edit?usp=drivesdk
82,Birendra Nagar HS School,West,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1ubHHomaWa3j6tqRvUA22_1FMkDIIMd9nchVH2vazgIc/edit?usp=drivesdk
83,Mohanpur Class XII School,West,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/12JWQbQ_NEOl9czuaNC3Mx_SY4VTEn5RNhxktA87GAgE/edit?usp=drivesdk
84,Bishramganj HS School,Sepahijala,CBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/17DYQhJt2y4ahqQyRWxoWNaFx778yVUGqjji82QBdBWw/edit?usp=drivesdk
85,Bishramganj HS School,Sepahijala,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1FOxY-0nzCFa4jTXc7GBS_6uwdaedJOGPQKOCi3rPWWY/edit?usp=drivesdk
86,Bharat Ratna Atal Bihari Vajpayee Charilam HS School,Sepahijala,CBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1RLYXWoGcKO9dZVrjr5Jy2WbsCl4kCwTB9tasANjJbWU/edit?usp=drivesdk
87,Bharat Ratna Atal Bihari Vajpayee Charilam HS School,Sepahijala,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1w-f3nu70PTHqdnnnZ2QhFZdTE4SXRyOyDdhJZsEdhfI/edit?usp=drivesdk
88,Office Tilla HS School,Sepahijala,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1IsxTKMD9ac1HGqzTwX3gUbMWjRugzmmfZA559HjWtIA/edit?usp=drivesdk
89,Office Tilla HS School,Sepahijala,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1nnKGV_xgmcyOoK3Fuc4jV3ReYmVLuDFbmVUKdNHUPn8/edit?usp=drivesdk
90,Madhupur HS School,Sepahijala,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/1HCdQYP0bp8RtXkCONLgWb5DwzMXtImt2ZbI11ozfyys/edit?usp=drivesdk
91,Madhupur HS School,Sepahijala,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1FplIim8In5QNfbzyazYwd6MJzC4uWanqPPXh2Eq2uUI/edit?usp=drivesdk
92,PMSHRI Baidyardighi HS School,Sepahijala,TBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1ooz3UpNN06fk7CDrr5Gz2QSFoP9FsW8-XG64ywRjOGo/edit?usp=drivesdk
93,Srinagar Gabardi HS School,Sepahijala,CBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1CZ9E3_4I7Hv9rIs88s2gInjb-t7A0qSSgXl6g71_9Ew/edit?usp=drivesdk
94,PMSHRI N. C. Institution,Sepahijala,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1YJrL-ddLDYlqcBQ4ZS3YXwEisZMgyqmcG1tcv6buj18/edit?usp=drivesdk
95,PMSHRI N.C Institution,Sepahijala,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1evqmVibGE5HfDQRMMUoiMtkW-j_JRGzkCoFZ8AiMwv4/edit?usp=drivesdk
96,Sonamura Girls' HS School,Sepahijala,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1vZMRcW9fkE7fECIhhn60e1rWg5yqj51JyPq4EpvBuVY/edit?usp=drivesdk
97,Sonamura Girls' HS School,Sepahijala,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1DGEF2HGUCuo7RNhQPNyaBhlOeYhZ9u1KJpjUJOMxk8A/edit?usp=drivesdk
98,Durlavnarayan HS School,Sepahijala,CBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1GLE3R0c6p2yPNT0dWpK9BGSOHPbbGd45hommD1Cg7v8/edit?usp=drivesdk
99,Tripura Sundari HS School,Gomati,TBSE,Electronics,VE 56 Schools,https://docs.google.com/spreadsheets/d/1V_SKfy4G20PENPK5TDeYIxWWnRz1ts3W42NVIK2NYy8/edit?usp=drivesdk
100,Matabari English Medium H. S. School,Gomati,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1dZw6s9QJWRf8arosUBkV-j6yn6SavCcmWqfSPNcQuns/edit?usp=drivesdk
101,Bhagini Nivedita English Medium H.S School,Gomati,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1saXGhATJC_vWrMoppLpwfa6tW_PDyZoGpTasB-vqelI/edit?usp=drivesdk
102,Bhagini Nivedita English Medium H.S. School,Gomati,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1hWzW9DB_VZiPs6AA9Qf9cb-Bk5z7MhJ5e0V9ak8bOyg/edit?usp=drivesdk
103,Chandrapur Col. H.S School,Gomati,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/13elI6BUpS8dv2u0_Cv13rWlj4Mezt9eQeAInPk7R_44/edit?usp=drivesdk
104,Garjanmura H.S School,Gomati,TBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1Q18qtcPYGOARZr02qaTON_HO5-rI36QZdf4a8ESgfEc/edit?usp=drivesdk
105,Amarpur H.S School,Gomati,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1vNVApgUFwgrHyKmawc8mfSdQx6418k0qy00OXKKJmJ8/edit?usp=drivesdk
106,Amarpur Girls H.S School,Gomati,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1d7PC2s-j7CyzsWk0h9sAoOUTvLTPpl40xd1eB2qojIc/edit?usp=drivesdk
107,Amarpur Girls' H.S School,Gomati,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1EraVcHR6P6yIhoX1v0hG6ODa3ZZuCNFbi7gHVK0Qups/edit?usp=drivesdk
108,Gamaria H.S School,Gomati,TBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1AJnei2vRzswk8FJuoUItqkwfeVIoSlaDj1LoUD36JZA/edit?usp=drivesdk
109,Mirza H.S School,Gomati,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1sT2-DyvXidrEvvsCSWGjznNbzXahELywY5ngKADZ-xA/edit?usp=drivesdk
110,Mirza H.S School,Gomati,TBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1WXQG3_Rd8I5Yu0R4wmINHxyyG3A7EeM5Jq1mnhnbQ_U/edit?usp=drivesdk
111,Birchandra Manu Ssvm H.S. School,South,CBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/16GTH3CiyO6nf-oOPlAujOyGyxibyjjUn1LReRsXoStQ/edit?usp=drivesdk
112,Birchandra Manu Ssvm H.S. School,South,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1_lgzuuVvPjOIu5Ul9_msFqxTg3yPFeMEJQyNuE1uOnQ/edit?usp=drivesdk
113,PMSHRI Jolaibari Mm Girls H.S. School,South,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1vsZFZ1WRa1G2GRHjlZ_obElN7FaQURYcsWdF0WSrp3w/edit?usp=drivesdk
114,PMSHRI Aryya Colony H.S. School,South,TBSE,Electronics,VE 56 Schools,https://docs.google.com/spreadsheets/d/12PZPDUKF5IKnyV1vgjjRyuSMDC_BkKwuHW4xOgDCPM0/edit?usp=drivesdk
115,Manu Bankul H.S. School,South,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1rgqwDkf14A6rRh8ftb1u0arWlgZRPGYEbvBA0-oRjIY/edit?usp=drivesdk
116,Santirbazar Model H.S. School.,South,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1n8BCKZsIVs3QaX_o3gsWI6Y-LBGQ3AHypSW38doPTJg/edit?usp=drivesdk
269,Uttar Padmabil B.H.C High School,North,TBSE,Organised Retail,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1fYbd-FrAuotsKWTytPugjblK51Rby4Ph_O-jcwjIUSc/edit?usp=drivesdk
270,Gopal Sardar Para High School,Dhalai,TBSE,Organised Retail,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1lcifbBPeIJCj05uM4VZJdGjjrnMln2SX-FUOSY-pjfo/edit?usp=drivesdk
271,Dhanchandra Chowdhury Para High School,Dhalai,TBSE,Agriculture,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1vTPq9LL6nc5sk_geh7sc6b4KLj9pBVeIegK0J4uBK8w/edit?usp=drivesdk
272,Khas Kalyanpur High School,Khowai,TBSE,Electronics,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1hQ0ZAoTre15tx9jt1-HEl7WHHayw7iLDhNm_9HFnoBQ/edit?usp=drivesdk
273,Brahmacharra High School,Khowai,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1v8wdVz5cycHzNznl5JxVQ_F6VBingHCgberivHHef5A/edit?usp=drivesdk
274,Barabil High School,Khowai,TBSE,Electronics,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1_AV3rfGE6CP90U9TFwc1e3pvrDgkSUT_wELRHFzP6p4/edit?usp=drivesdk
275,Ramnagar High School,West,TBSE,Organised Retail,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1Txw6a7kglY7wPdEfEpB9Un7TBY63YrOml8r2pMIxDrk/edit?usp=drivesdk
276,Makhumai Kami High School,West,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1L3lSLgvPfM43b1sIklNKbvTJr-5rW3fVaq9LdtD-e7k/edit?usp=drivesdk
277,Rangamura Upper High School,Sepahijala,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1RzwoaDo5ojAGbK888qM1AB37aK3hY1vd2akqa58gwDw/edit?usp=drivesdk
278,Bishalgarh Town HS School,Sepahijala,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1fMxHQT6eV28OOv6WN9zawylwAe6uc91HgQ0IT6nGyu0/edit?usp=drivesdk
279,No.1 New Manu Colony Girls' High School,South,TBSE,Electronics,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1SwPfn-fS2kFXKsJaUFXTleUg1x7Pfu3fJz8-gjE9VmU/edit?usp=drivesdk
280,East Mirzapur High School,South,TBSE,Electronics,VE 16 Hub & Spoke Schools (P-I),https://docs.google.com/spreadsheets/d/1pHUmyucQnTt1GtX4j3vwDJy_wcqLlkVJvT5-GIpgPgM/edit?usp=drivesdk
281,Laljuri H.S. School,North,TBSE,Organised Retail,VE 90 Schools,https://docs.google.com/spreadsheets/d/1P4gq-lnVYhgvslAbCRXOvqTTU5FJ93kwzmup2ta0BFs/edit?usp=drive_link
282,Rabindra Nagar H.S School,North,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/1S_iUR72kEMP6h80VSUqCafFSCfDetIi6GDBwOP7QxGw/edit?usp=drivesdk
283,Sabual Eng. Med. H.S School,North,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1wHEUuo635LpI5KpJHLOj7vNmgMpObWChNK6Kg8n7d4g/edit?usp=drivesdk
284,Jampui H.S School,North,TBSE,Electronics,VE 90 Schools,https://docs.google.com/spreadsheets/d/1qTuK8V5pMw3ZwBAXxPaPcmNoCZB8u_PoFbPLiIME2Mw/edit?usp=drivesdk
285,Fulbari H.S School,North,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/1N6BX2uykQ8ALgG7WrIldk15p67l9HoNAF2ejQBXTPL0/edit?usp=drivesdk
286,Panisagar H.S School,North,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1BtYLUNj_finYAxg1XtNsUjM0uYrLCXXZfFd6CcTV20k/edit?usp=drivesdk
287,Padmabill H.S.(+2 Stage) School,North,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/15-duJlr28HmZSLLESdekugGxfdHxaneW75VMqODBgjc/edit?usp=drivesdk
288,Huplongcherra T.E.H.S School,North,CBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/1wT9GFP7ufx7VRt_OiA4Ud4JHnL26OnXfjTZIYWbWKaw/edit?usp=drivesdk
289,Nayapara Eng. Med. H.S School,North,CBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/1vXCSHeYiyhHd3rDPEo94S-zzWEFgb10_WeIH2vbYksk/edit?usp=drivesdk
290,Tarakpur H.S School,North,TBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/1rEFp3RHuGmlm8nqp_ecf1CguXAM9cAWwglN9p84uJ4M/edit?usp=drivesdk
291,Sakaibari High School,North,TBSE,Power,VE 90 Schools,https://docs.google.com/spreadsheets/d/1F6iZp4Dvwp5TIjK5EWxBDpTwZzly1S4apGEpvXzpa0Q/edit?usp=drivesdk
292,Laxminagar High School,North,TBSE,Power,VE 90 Schools,https://docs.google.com/spreadsheets/d/1-biNo54sjFM6FSnINTdBdUVSC4PKcXr6rtPNLQd4paU/edit?usp=drivesdk
293,Irani High School,Unakoti,TBSE,Power,VE 90 Schools,https://docs.google.com/spreadsheets/d/1uOmB3X4kxVPw6D9I2KVvaQbz8G0ue7UXS6IfCtJxi7Q/edit?usp=drivesdk
294,Dhanbilash H.S School,Unakoti,TBSE,Tourism & Hospitality,VE 90 Schools,https://docs.google.com/spreadsheets/d/1hIUyWFeAdRiX8gLmtA2sMv16Knx7bPdZEz-kGAb5B_g/edit?usp=drivesdk
295,Raitwisa H.S School,Unakoti,TBSE,Electronics,VE 90 Schools,https://docs.google.com/spreadsheets/d/1VujRhD3QVDqytVsp7lJ3MSKTRSSIjwPvvLQ-8ZdZW5s/edit?usp=drivesdk
296,Krishnanagar B.M High School,Unakoti,TBSE,Organised Retail,VE 90 Schools,https://docs.google.com/spreadsheets/d/1SmM0gbbqakK2w3wTF1hDbQfsfRw4OxnZDZdVdI_6Mak/edit?usp=drivesdk
297,Ramkamal H.S School,Unakoti,TBSE,Tourism & Hospitality,VE 90 Schools,https://docs.google.com/spreadsheets/d/1GXIYCIceDRBRWKfH56up-hoXbH41cBcCS3dIQzRi_3A/edit?usp=drivesdk
298,Sripur High School,Unakoti,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1dfVQI6zJQoIQQ-3ChtRtRQWE0b3JxhKar-44_IBR5aQ/edit?usp=drivesdk
299,Kulai Colony High School,Dhalai,TBSE,Electronics,VE 90 Schools,https://docs.google.com/spreadsheets/d/1Yud6qkE_B7cWnIl5crTjehx3YX_ZUD4t14sAvQm3AjU/edit?usp=drivesdk
300,Uttar Lalchari High School,Dhalai,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1QxI-3WEsyVZweSHKDHTDrT1Ru-azULlw54ILaXeVDUs/edit?usp=drivesdk
301,Much Kumbir (M.R) Para High School,Dhalai,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/1PnDhuU-g-E9lG_-VYAwmEQ-BHVNH_PxFX90VnDFFz5c/edit?usp=drivesdk
302,Kamalpur Govt. English Medium H.S School,Dhalai,CBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/1ANkSpQM0DSbLdlWlg1eZy35uwos92ZilbUFzBGKbPZ8/edit?usp=drivesdk
303,PMSHRI K.C. Girls Class XII School,Dhalai,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/16WBsP_9kw8Oa65A8OVdiE1se5jSuuKSZElYWxw-wzok/edit?usp=drivesdk
304,Duraichara Shibbari High School,Dhalai,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1POa-KejxYgGoCMDqriHgAhuoWpkANkfT3Slxf6z1N6U/edit?usp=drivesdk
305,Baligaon High School,Dhalai,TBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/1O-S7IIoOOtT_-RmKCdmTLX8eoW2gbw0gw0ufPcICIEM/edit?usp=drivesdk
306,Ganganagar Eng. Med. H.S School,Dhalai,CBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/1ovJuJ0WMnFS30fMa1iUMrFh_qq0GAx88M7exKE8uGWI/edit?usp=drivesdk
307,Madhab Chandra Class XII School,Dhalai,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1ulwXP9VVU5rEGPs8KMywIin4Fokm6omWwarLLsBKeMk/edit?usp=drivesdk
308,Chailengta Govt English Medium H.S School,Dhalai,CBSE,Retail,VE 90 Schools,https://docs.google.com/spreadsheets/d/1AW6x2YPX3KAVWjnPDnrb3RBwsKok77uJLnxuTUKpaCM/edit?usp=drivesdk
309,Binanda Debbarma Para High School,Dhalai,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/17jVvKuXgUScOpbp9NkvXp6Q5A70QwyEQaljijnpIDRQ/edit?usp=drivesdk
310,Ujan Chankap Class XII School,Dhalai,TBSE,Power,VE 90 Schools,https://docs.google.com/spreadsheets/d/1KsgBmBTBcaBuqEKT95gbN8XGeSde4L3uyXycmtoMTNk/edit?usp=drivesdk
311,Santir Bazar High School,Dhalai,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/16izqyJO4-faybp5txRpTAkoNo_RqVhn-ioHvZTbKbhA/edit?usp=drivesdk
312,Icharbil H.S School,Khowai,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/1UYNkzDKEP8_BqCo8aX_gNFUi3CtlDV4KIYPcFlVKASc/edit?usp=drivesdk
313,Lankamura H.S School,West,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/1hEdhg5q-FyqgHd5hkY3rzRWWKv0QqKuw-JBSozsQKMw/edit?usp=drivesdk
314,Narsingarh H.S School,West,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1imMHO_n6iStL8S75_gn_jA7Jd2S3AlU2-aAYg4HOKMg/edit?usp=drivesdk
315,Sishu Bihar H.S School,West,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1xpx5fZaaq8KRExMe628Cl1tjUIGd2tI7aOekYafZqts/edit?usp=drivesdk
316,M.T.B Girls H.S School,West,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1t8z8iXi0oSuDag6uE4NNyk6ftS1dH9eIP70-cn9GbPo/edit?usp=drivesdk
